,RollNumber,P1,P2,P3,P4,P5
198,101803529,15,15,13,0,0
199,101803531,13,13,14,0,0
200,101803533,13,15,13,0,0
201,101803536,0,0,0,14,13
202,101803542,14,14,0,0,0
203,101803543,14,14,14,0,0
204,101803544,13,14,15,0,0
205,101803545,13,15,13,0,0
206,101803546,14,14,0,15,0
207,101803549,15,0,14,15,0
208,101803559,0,13,14,0,0
209,101803561,15,15,13,0,0
210,101803562,15,14,13,15,14
211,101803564,0,15,14,0,0
212,101803567,13,15,0,0,0
213,101803573,14,15,15,0,0
214,101803575,13,15,0,0,0
215,101803579,14,15,0,0,0
216,101803580,13,0,15,0,0
217,101803581,15,15,13,0,0
218,101803585,13,15,14,0,0
219,101803589,14,13,13,0,0
220,101803590,0,15,0,0,0
221,101803591,15,13,14,0,0
222,101803594,13,13,0,0,0
223,101803595,15,13,14,0,0
224,101803596,13,15,15,0,0
225,101803598,14,14,13,0,0
226,101803600,14,15,14,0,0
227,101803601,15,0,14,0,0
228,101803603,15,14,0,0,0
229,101803604,15,15,13,0,0
230,101803605,15,15,13,0,0
231,101803606,14,14,14,0,0
232,101803608,14,15,14,0,0
233,101803609,15,13,0,15,0
234,101803610,13,15,0,0,0
235,101803611,14,0,14,0,0
236,101803613,15,15,0,0,0
237,101803614,14,0,14,0,0
238,101803617,14,13,14,0,0
239,101803618,15,13,15,0,0
240,101803620,13,14,15,0,0
241,101803623,13,15,13,0,0
242,101803624,15,0,15,0,0
243,101803625,13,13,14,0,0
244,101803628,14,14,13,0,0
245,101803635,13,15,13,0,0
246,101803637,14,13,13,0,0
247,101803638,15,15,15,0,0
248,101803644,15,13,0,0,0
249,101803650,13,13,13,0,0
250,101803651,14,15,0,0,0
251,101803655,15,15,13,0,0
252,101803660,15,0,0,0,0
253,101803669,15,15,14,0,0
254,101803670,14,15,13,0,0
255,101803671,0,15,13,0,0
256,101803674,13,13,14,0,0
257,101803676,13,15,14,0,0
258,101803683,13,14,14,0,0
259,101803685,13,0,14,0,0
260,101803686,14,15,14,0,0
261,101803688,14,13,13,0,0
262,101803689,14,0,0,0,0
263,101803690,14,14,14,0,0
264,101803691,0,14,15,0,0
265,101803692,13,15,0,0,0
266,101803693,14,15,13,0,0
267,101803696,15,14,13,0,0
268,101803699,0,0,0,15,13
269,101803702,15,14,15,0,0
270,101803705,13,14,14,0,0
271,101803706,14,13,15,0,0
272,101803708,15,14,14,0,0
273,101803714,14,14,0,0,0
274,101803715,14,15,15,0,0
275,101803720,14,13,14,0,0
276,101803725,15,14,0,0,0
277,101803728,13,13,14,0,0
278,101816001,13,14,14,0,0
279,101816003,0,0,0,15,15
280,101816004,13,13,15,0,0
281,101816005,13,13,15,0,0
282,101816010,0,0,0,14,13
283,101816011,0,13,14,0,0
284,101816012,14,13,15,0,0
285,101816018,14,15,0,0,0
286,101816019,15,15,13,0,0
287,101816020,14,14,13,0,0
288,101816021,15,14,0,0,0
289,101816023,14,14,0,0,0
290,101816025,13,14,13,0,0
291,101816028,0,0,0,15,14
292,101816029,13,0,0,0,0
293,101816034,14,0,0,0,0
294,101816035,13,13,14,0,0
295,101816036,0,0,0,15,0
296,101816037,0,14,0,0,13
297,101816038,0,0,0,15,14
298,101816040,0,0,0,15,13
299,101816041,13,13,13,0,0
300,101816043,0,0,0,14,0
301,101816044,0,0,0,13,14
302,101816046,15,15,13,0,0
303,101816050,0,0,0,14,14
304,101816051,0,13,0,0,0
305,101816052,14,0,0,14,0
306,101816053,0,0,0,15,15
307,101816056,14,15,0,0,0
308,101853003,13,15,13,0,0
309,101853014,0,0,0,15,0
310,101853016,14,13,0,14,0
311,101853018,14,0,13,0,0
312,101853019,13,15,15,0,0
313,101853020,14,15,15,0,0
314,101853021,14,14,15,0,0
315,101853025,15,14,14,0,0
316,101853028,0,0,0,13,13
317,101853029,14,15,13,0,0
318,101853033,14,0,0,0,0
319,101853034,14,13,15,0,0
320,101853035,14,14,14,0,0
321,101853037,13,14,15,0,0
322,101853039,13,13,15,0,0
323,101866002,0,0,0,14,14
324,101866007,13,0,15,15,0
325,101866008,15,13,13,0,0
326,101866009,0,15,13,0,13
327,101866010,0,0,0,14,15
328,101866011,15,13,0,0,0
329,101866012,13,0,14,0,0
330,101866014,0,0,0,14,0
331,101866015,13,13,14,0,0
332,101866017,13,15,0,0,0
333,101866018,0,0,0,13,15
334,101866019,0,14,0,15,0
335,101866020,15,0,0,0,0
336,101983011,14,14,0,0,0
337,101983018,13,13,0,0,0
338,101983021,14,14,14,0,0
339,101983029,14,13,0,13,0
340,101983031,13,13,14,0,0
341,101983033,0,0,0,13,0
342,101983034,13,13,0,0,0
343,101983036,0,0,0,14,14
344,101983041,13,15,13,0,0
345,101983042,15,15,13,0,0
346,101983043,0,0,0,14,0
347,101983044,0,13,13,0,0
348,101983045,13,15,14,0,0
349,101983047,13,15,13,0,0
350,101983048,13,0,0,0,0
351,101983050,13,14,14,0,0
352,101983051,15,15,13,0,0
353,101983052,13,14,15,0,0
354,101983054,13,14,14,0,0
355,101983056,15,13,14,0,0
356,101983058,13,13,15,0,0
357,101983060,0,0,0,15,13
358,101983061,13,14,0,0,0
359,101983062,13,14,13,0,0
360,101983063,15,0,15,0,0
361,101983065,15,14,13,0,0
362,401803008,15,14,13,0,0
363,401803010,14,13,13,0,0
364,401803023,15,15,14,0,0
365,401803026,14,14,0,0,0
366,401803034,14,0,15,0,0
367,401803036,0,0,0,15,15
368,401853002,15,13,0,0,0
369,401853006,14,0,13,0,0
370,401863006,0,15,0,0,0
